cityid,name,locality,cost,cuisine,votes,rating
13,Brick Kitchen,"Five Petals Hotel and Banquets,Ghatlodia, West Ahmedabad",900,"North Indian,  Chinese,  Continental,  Italian,  Thai,  Mexican,  Oriental ",499,4.5
13,Brown Burger Co.,"Celebration City Centre,Bopal, West Ahmedabad",500,Fast Food,47,4.6
13,Buddy - The Family Restaurant,"Gota, North Ahmedabad",1100,"North Indian,  Continental,  Fast Food",41,4.1
13,Cafe De Italiano,"Arista Business Hub,Bodakdev, West Ahmedabad",1000,"Italian,  Desserts,  Fast Food,  Pizza",143,4.3
13,Cafe Patio,"Hotel Binori,Thaltej, West Ahmedabad",1500,"Continental,  Italian,  Fast Food",41,4.3
13,Cafe Piano,"The Grand Bhagwati Hotel,Bodakdev, West Ahmedabad",1000,"North Indian,  Continental,  Oriental ,  Fast Food",253,4.4
13,Cafe Skryf,"Prashad Tower,Ambawadi, West Ahmedabad",500,"Bakery and Confectionary,  Coffee,  Pizza,  Tea,  Shakes",7,4.4
13,Cafe Soul Square,"Bodakdev, West Ahmedabad",800,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Mexican,  Coffee",15,4.5
13,Cafe Upper Crust,"Aarohi Complex,Navrangpura, West Ahmedabad",1000,"Italian,  European,  Multi-Cuisine,  North Indian",67,4.4
13,Cafe Upper Crust,"Rivera Arcade,Prahlad Nagar, West Ahmedabad",1000,"Italian,  European,  Multi-Cuisine,  North Indian,  Chinese,  Continental",11,4.2
13,Cafe Upper Crust,"Shubham Complex,Vastrapur, West Ahmedabad",1000,"Italian,  European,  Multi-Cuisine,  Chinese,  Continental",31,4.7
13,Caffix - The Tech Cafe,"Advait Mall,Vastrapur, West Ahmedabad",900,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Thai,  Mexican",24,4.2
13,Candle Light Date N Dinner,"Bodakdev, West Ahmedabad",1500,"North Indian,  Continental",8,3.8
13,Cascade Lounge,"Bodakdev, West Ahmedabad",1000,"Italian,  Fast Food",129,4
13,Chai Nashta,"Shivalik Business Centre,Bodakdev, West Ahmedabad",300,"Fast Food,  Coffee,  Tea",14,3.8
13,Chandni Bhaji Pav,"Nikol, East Ahmedabad",500,"North Indian,  Chinese",3,1.9
13,Cheers,"One World Capital,Bodakdev, West Ahmedabad",400,"Ice Cream,  Shakes,  Desserts,  Coffee",31,4.5
13,Cherries,"Silver Heights Hotel,Navrangpura, West Ahmedabad",1000,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Oriental ",158,4.5
13,Choice Of Pizza,"Platinum Plaza,Nikol, East Ahmedabad",500,"Italian,  Pizza",4,4.2
13,Cinnamon,"Hotel Suba Star,Bodakdev, West Ahmedabad",800,"North Indian,  Oriental ,  Continental",15,3.7
13,Cloves Restaurant and Cafe,"Safal Pegasus,Prahlad Nagar, West Ahmedabad",1100,"Multi-Cuisine,  North Indian,  Chinese,  Fast Food",168,3.8
13,Coffee Culture,"Bodakdev, West Ahmedabad",900,"Multi-Cuisine,  North Indian,  Italian,  Desserts,  Fast Food",224,4.3
13,Coffee Culture,"Maple Trade Center,Thaltej, West Ahmedabad",300,"Desserts,  Italian,  Chinese,  Thai,  Mexican",79,4.4
13,Coriander Restaurant,"Cosmopolitan Hotel,Navrangpura, West Ahmedabad",1200,"North Indian,  Chinese,  Continental,  South Indian",1,5
13,Crush Coffee,"Bodakdev, West Ahmedabad",300,Coffee,5,2.8
13,Cuppuccino,"HSG House,Navrangpura, West Ahmedabad",800,"Italian,  Continental,  Mexican,  Fast Food,  Coffee,  Pizza",182,4.1
13,Curries,"Rudra Path Building,S G Highway, West Ahmedabad",1500,"North Indian,  Chinese,  Continental",145,4.5
13,D'tallii Egg,"Asia House,Navrangpura, West Ahmedabad",500,"Fast Food,  Health Food,  Chinese",8,4.8
13,D'tallii Egg,"Celebration City Centre,Bopal, West Ahmedabad",500,"Fast Food,  Health Food,  Chinese",15,4.6
13,Dakshination,"Navrangpura, West Ahmedabad",400,South Indian,18,4.4
13,Dakshini 24,"Bodakdev, West Ahmedabad",600,"South Indian,  Juice",53,4.4
13,Dana Panee,"Sarkhej, West Ahmedabad",800,"North Indian,  Chinese,  Seafood",15,3.7
13,Desi Mood,"Satellite, West Ahmedabad",700,"North Indian,  Chinese,  Mughlai,  Maharashtrian",21,4.1
13,Dheemi Aanch,"Galaxy Tower,Bodakdev, West Ahmedabad",600,"North Indian,  Seafood,  Mughlai,  Continental",54,4.3
13,Dinner Post Restaurant,"Siddhi Vinayak Complex,Odhav, East Ahmedabad",500,"North Indian,  Chinese,  Continental",26,4.1
13,Doner and Gyros,"Prahlad Nagar, West Ahmedabad",600,"Fast Food,  Mediterranean",39,4.3
13,Dosawala,"Adalaj Gandhinagar, North Ahmedabad",500,South Indian,37,4
13,Dosawala,"Savan Mall,Sola, North Ahmedabad",500,"South Indian,  Street Food",59,4.2
13,Dravida,"The Fern An Ecotel Hotel,Thaltej, West Ahmedabad",1500,"South Indian,  Seafood",69,4.3
13,Earthen Oven,"Fortune Landmark Hotel,Ashram Road, Central Ahmedabad",1700,"North Indian,  Mughlai",34,4.4
13,Eat Punjab,"Celebration City Centre,Bopal, West Ahmedabad",800,"North Indian,  Chinese,  Thai,  Mexican,  Seafood,  Mughlai",24,4.4
13,Eat Punjab,"Chandkheda, North Ahmedabad",800,"North Indian,  Chinese,  Continental,  Seafood",59,4.3
13,Eleven 11 Restro Cafe,"Silver Radiance,Bodakdev, West Ahmedabad",700,"North Indian,  Italian",33,3.8
13,Essence,"Crowne Plaza,Satellite, West Ahmedabad",2200,"Continental,  North Indian",128,4.4
13,Falafel Express,"Navrangpura, West Ahmedabad",600,"Fast Food,  Italian,  Mediterranean",1,5
13,Falashin Juices And Dishes,"Maple Trade Center,Thaltej, West Ahmedabad",700,"Fast Food,  Health Food,  Shakes",6,3.3
13,Firangi Fusion Cafe,"Navrangpura, West Ahmedabad",600,"North Indian,  Italian,  Coffee,  Chinese,  Continental",10,4.3
13,FoodInn Fine Dine,"Ashram Road, Central Ahmedabad",1000,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Mughlai",40,4.1
13,FoodInn Restaurant,"Lal Darwaja, Central Ahmedabad",800,"North Indian,  Chinese,  Seafood,  Biryani",71,4.1
13,Fozzie's Pizzaiolo,"Navrangpura, West Ahmedabad",1000,"Italian,  Fast Food,  Continental,  Mexican,  Pizza",28,4.5
13,Fozzie’s Pizzaiolo . Café and Deli,"Maruti Crystal,Bodakdev, West Ahmedabad",1000,"Italian,  Fast Food,  Pizza",173,4.4
13,Fresh Roast,"Manimansion Hotel,Paldi, Central Ahmedabad",800,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Gujarati",118,4.3
13,From The North,"Navrangpura, West Ahmedabad",800,"North Indian,  Biryani",270,4.2
13,Gamysticafe,"Aeon Complex,Navrangpura, West Ahmedabad",800,"Italian,  Chinese,  Continental,  Fast Food",51,4.2
13,Gardenia,"Fortune Park,Ellis Bridge, Central Ahmedabad",2000,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood",23,4.3
13,Gloria Restaurant,"Regency Plaza,Satellite, West Ahmedabad",700,"North Indian,  Chinese,  Continental,  Italian,  Mexican",112,4.5
13,Gormoh,"Rudra Square Complex,Bodakdev, West Ahmedabad",1200,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",76,4.3
13,Gourmet Kitchen,"Maple 99,Chandkheda, North Ahmedabad",800,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",19,4.2
13,Govinda's,"Satellite, West Ahmedabad",1200,"North Indian,  Chinese,  Continental,  Italian,  Fast Food",55,4.1
13,Greenvita,"Kala Siddhi Appartments,Satellite, West Ahmedabad",400,"Juice,  Shakes",7,4.8
13,Grubian,"Juhapura, West Ahmedabad",600,North Indian,1,4
13,Gwalbhog,"Chandkheda, North Ahmedabad",800,"Gujarati,  Rajasthani",103,4.5
13,Gwalia Baklawa,"Bodakdev, West Ahmedabad",500,"Continental,  Mithai,  Bakery and Confectionary",1,5
13,Gwalia Sweets,"4D Square Mall,Motera, North Ahmedabad",500,"Mithai,  North Indian,  Chinese,  Street Food",5,4.2
13,Gwalia Sweets,"Bapunagar, East Ahmedabad",500,"Mithai,  Street Food,  Fast Food",2,3
13,Gwalia Sweets,"Kalupur, Central Ahmedabad",500,Mithai,1,4
13,Gwalia Sweets,"Maninagar, East Ahmedabad",500,"Mithai,  Street Food,  Fast Food",1,5
13,Gwalia Sweets,"Maple Trade Center,Thaltej, West Ahmedabad",500,"Mithai,  North Indian,  Chinese,  Street Food",1,4
13,Gwalia Sweets,"Navrangpura, West Ahmedabad",500,"Mithai,  Street Food,  Chaat",1,5
13,Gwalia Sweets,"Shahibaug, North Ahmedabad",500,"Mithai,  Street Food,  Chaat",1,5
13,Gwalia Sweets,"Venus Atlantis Business Park,Prahlad Nagar, West Ahmedabad",500,"Mithai,  North Indian,  Chinese,  Street Food",5,3.6
13,HOP,"Double Tree by Hilton Ahmedabad,Bopal, West Ahmedabad",1200,"Fast Food,  Continental",18,4.4
13,Harmony Resto Cafe,"Gala Business Center,Navrangpura, West Ahmedabad",500,"Fast Food,  Coffee,  Burger,  Shakes",63,4.5
13,Hashtag BBQ,"Sun Square Building,Chandkheda, North Ahmedabad",1000,North Indian,60,3.8
13,Haveli Theater Bistro,"Bodakdev, West Ahmedabad",800,"North Indian,  Italian,  Continental,  Mexican,  Coffee",57,4
13,Havmor Restaurant,"Maninagar, East Ahmedabad",800,"North Indian,  Italian,  Chinese,  Mexican",11,4.5
13,Havmor Restaurant,"Shivalik Arcade,Prahlad Nagar, West Ahmedabad",800,"North Indian,  Chinese,  Continental,  World Cuisine",28,4.6
13,Havmor Restaurant,"Stadium Complex,Navrangpura, West Ahmedabad",800,"North Indian,  Italian,  Chinese,  Desserts",35,4.5
13,Highland Park The Restaurant,"Vrundavan Complex,Memnagar, West Ahmedabad",600,"North Indian,  Chinese,  Continental",14,4.4
13,Hocco Eatery,"Amrapali Complex,Bopal, West Ahmedabad",600,"Fast Food,  Shakes,  Desserts,  Ice Cream,  Pizza",3,3.7
13,Hocco Eatery,"Bhadra, East Ahmedabad",600,"Fast Food,  Shakes,  Desserts,  Ice Cream,  Pizza",3,3.9
13,Hocco Eatery,"Gulbai Tekra, West Ahmedabad",600,"Fast Food,  Shakes,  Desserts,  Ice Cream,  Pizza",1,5
13,Hocco Eatery,"Maninagar, East Ahmedabad",600,"Fast Food,  Shakes,  Desserts,  Ice Cream,  Pizza",2,3.9
13,Hocco Eatery,"Navrangpura, West Ahmedabad",500,"Desserts,  Ice Cream,  Fast Food,  Shakes",3,3.1
13,Hocco Eatery,"S G Highway, West Ahmedabad",500,"Desserts,  Ice Cream,  Fast Food,  Shakes",7,3.5
13,Hocco Eatery,"Sardar Center,Vastrapur, West Ahmedabad",500,"Desserts,  Ice Cream,  Fast Food,  Shakes",7,3.9
13,Hocco Eatery,"Stadium Complex,Navrangpura, West Ahmedabad",500,"Desserts,  Ice Cream,  Fast Food,  Shakes",3,3.7
13,Hocco Eatery,"Vastrapur, West Ahmedabad",600,"Fast Food,  Shakes,  Desserts,  Ice Cream,  Pizza",3,5
13,Hot Pot,"Epsilon The Hotel,Ellis Bridge, Central Ahmedabad",800,"North Indian,  Chinese,  Continental",8,4
13,Hotel Darshan,"Naroda, North Ahmedabad",700,"North Indian,  Chinese,  Indian Cuisine",1,5
13,Hotel Moti Mahal,"Sarkhej, West Ahmedabad",800,"North Indian,  Chinese,  Continental,  Seafood,  Fast Food",5,4.4
13,Huber And Holly,"Bodakdev, West Ahmedabad",700,"Desserts,  Ice Cream,  Fast Food",80,4.5
13,Huber And Holly,"Navrangpura, West Ahmedabad",700,"Desserts,  Ice Cream,  Fast Food",74,4.4
13,Hugs with Mugs,"Thaltej, West Ahmedabad",600,"Fast Food,  Pizza,  Italian,  Chinese",1,5
13,Hungry Puppet,"Radhe Fortune,Gandhinagar, North Ahmedabad",900,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",199,4.4
13,Italian Bistro,"Maple 99,Chandkheda, North Ahmedabad",1000,Italian,17,4.2
13,Jacaranda,"The Ummed Ahemdabad,Hansol, North Ahmedabad",2700,"North Indian,  Chinese,  Continental,  Seafood,  Gujarati",56,3.7
13,Jahanvee Restaurant,"Gulbai Tekra, West Ahmedabad",700,"North Indian,  Chinese,  Continental",3,5
13,Jajarmaan,"Bodakdev, West Ahmedabad",900,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mexican,  Gujarati",78,4.2
