train_no,train_name,source_station_code,destination_station_code
74847,RE SDLP HSR,RE,HSR
74848,HSR SDLP RE,HSR,RE
74901,PTK-JUC DMU,JUC,PTK
74902,PTK-JUC DMU,PTK,JUC
74903,PTK-JUC DMU,JUC,PTK
74904,PTK-JUC DMU,PTK,JUC
74906,UHP-JAT-DMU,UHP,JAT
74907,JAT-UHP DMU,JAT,UHP
74909,PTK-JAT-UHP-,PTK,UHP
74910,PTK-JAT-UHP-,UHP,PTK
74911,HSX-JUC DMU,HSX,JUC
74912,HSX-JUC DMU,JUC,HSX
74913,HSX-JUC DMU,HSX,JUC
74914,HSX-JUC DMU,JUC,HSX
74915,HSX-JUC DMU,HSX,JUC
74916,HSX-JUC DMU,JUC,HSX
74917,HSX-JUC DMU,HSX,JUC
74918,HSX-JUC DMU,JUC,HSX
74919,HSX-JUC DMU,HSX,JUC
74920,HSX-JUC DMU,JUC,HSX
74923,HSX-ASR DMU,HSX,ASR
74981,KKP-FKA DMU,KKP,FKA
74982,FKA-KKP DMU,FKA,KKP
74983,KKP-FKA DMU,KKP,FKA
74984,FKA-KKP DMU,FKA,KKP
7603,KCG-KJM HSP,KCG,KJM
7604,KJM-KCG HSP,KJM,KCG
76800,TPJ-LLI  DMU,TPJ,LLI
76803,LLI-TPJ  DMU,LLI,TPJ
76804,TPJ-LLI DMU,TPJ,LLI
76812,TJ-KIK-DEMU,TJ,KIK
76815,KIK-TJ PASSR,KIK,TJ
76820,TPJ-TJ DEMU,TPJ,TJ
76821,TJ-TPJ DEMU,TJ,TPJ
76822,TPJ-TJ DEMU,TPJ,TJ
76823,TJ-TPJ DEMU,TJ,TPJ
76824,TPJ TJ DEMU,TPJ,TJ
76827,TJ TPJ  DEMU,TJ,TPJ
76828,TPJ-TJ DEMU,TPJ,TJ
76829,TJ-TPJ DEMU,TJ,TPJ
76833,TPJ KRR PASS,TPJ,KRR
76834,KRR TPJ PASS,KRR,TPJ
76835,TPJ KRR DMU,TPJ,KRR
76836,KRR TPJ PASS,KRR,TPJ
76851,KIK- TPJ PAS,KIK,TPJ
76852,TPJ-KIK PASS,TPJ,KIK
77259,NZB-KRMR DEM,NZB,KRMR
77260,KRMR-MRTD PA,KRMR,NZB
7757,SC-BZA  SPL,SC,BZA
7758,BZA-SC  SPL,BZA,SC
77671,KCG-MBNR DEM,KCG,MBNR
77672,MBNR-KCG DEM,MBNR,KCG
77673,MRGA-KCG DEM,MRGA,KCG
77674,KCG-MRGA DEM,KCG,MRGA
77675,KCG-MRGA DEM,KCG,MRGA
77678,MRGA-KCG DEM,MRGA,KCG
78502,BBS-CTC  PAS,BBS,CTC
78503,BBS-BAM PASS,BBS,BAM
78504,BAM-BBS PASS,BAM,BBS
79301,RTM - BHL DM,RTM,BHL
79302,BHL - RTM DM,BHL,RTM
79429,ANND-ADI DMU,ANND,ADI
79430,ADI-ANND DMU,ADI,ANND
79431,ADI-MSH DMU,ADI,MSH
79432,MSH-ADI DMU,MSH,ADI
82601,MS TEN SUVID,MS,TEN
82606,TEN-MS SUVD,TEN,MS
82631,MAS-ERS SUVI,MAS,ERS
82653,YPR-JP WEEKL,YPR,JP
82654,JP-YPR WEEKL,JP,YPR
8627,HWH RNC SPL,HWH,RNC
8628,RNC HWH  SPL,RNC,HWH
9003,BDTS NZM  SF,BDTS,NZM
9004,NZM  BDTS SF,NZM,BDTS
9005,BCT NDLS BI,BCT,NDLS
9006,NDLS BCT BI,NDLS,BCT
93001,VR-DRD,VR,DRD
93002,DRD-BVI,DRD,ADH
93003,VR-DRD,VR,DRD
93004,DRD-CCG,DRD,VR
93008,DRD-BVI,DRD,BVI
93009,ADH-DRD,ADH,DRD
93010,DRD-CCG,DRD,VR
93011,VR-DRD,VR,DRD
93012,DRD-VR,DRD,VR
93013,BVI-DRD,BVI,DRD
93014,DRD-DDR,DRD,VR
93017,VR-DRD,VR,DRD
93018,DRD-CCG,DRD,VR
93019,VR-DRD EMU,VR,DRD
93020,DRD-DDR,DRD,DDR
93021,VR DRD LOCAL,VR,DRD
93022,DRD DDR EMU,DRD,DDR
93023,VR DRD EMU,VR,DRD
93024,DRD-VR,DRD,VR
93027,DDR-DRD,DDR,DRD
93029,DDR DRD EMU,DDR,DRD
93031,VR - DRD,VR,DRD
93032,DRD  VR EMU,DRD,VR
93034,DRD- VR  EMU,DRD,VR
93101,VR-DRD EMU,VR,DRD
93102,DRD-VR MEMU,DRD,VR
93104,DRD-VR,DRD,VR
93105,VR-DRD,VR,DRD
93109,VR-DRD,VR,DRD
95101,S7,KYN,KJT
95102,S8,KJT,KYN
95103,S9,KYN,KJT
95104,S10,KJT,KYN
95105,S11,KYN,KJT
95106,S12,KJT,KYN
95107,S13,KYN,KJT
95108,S14,KJT,KYN
95109,S15,KYN,KJT
95110,S16,KJT,KYN
95111,S17,KYN,KJT
95112,S18,KJT,KYN
95113,S19,KYN,KJT
95114,S20,KJT,KYN
95115,S21,KYN,KJT
95116,S22,KJT,KYN
95117,S23,KYN,KJT
95118,S24,KJT,KYN
95119,S25,KYN,KJT
95120,S26,KJT,KYN
95121,S27,KYN,KJT
95122,S28,KJT,KYN
95123,S29,KYN,KJT
95124,S30,KJT,KYN
95125,S31,KYN,KJT
95126,S32,KJT,KYN
95127,S33,KYN,KJT
95128,S34,KJT,KYN
95129,S35,KYN,KJT
95130,S36,KJT,KYN
95131,S37,KYN,KJT
95132,S38,KJT,KYN
95134,S40,KJT,KYN
95136,S42,KJT,KYN
95138,S44,KJT,KYN
95140,S46,KJT,KYN
95142,S48,KJT,KYN
95144,S52,KJT,KYN
95701,K1,CSTM,KYN
95702,KW2,KYN,CSTM
95703,K11,CSTM,KYN
95704,K14,KYN,CSTM
95705,K19,CSTM,KYN
95706,DK4,KYN,DR
95707,K21,CSTM,KYN
95708,K20,KYN,CSTM
95709,K27,CSTM,KYN
95710,K28,KYN,CSTM
95711,K33,CSTM,KYN
95712,K30,KYN,CSTM
95713,DK5,DR,KYN
95714,K32,KYN,CSTM
95715,K41,CSTM,KYN
95716,K34,KYN,CSTM
95717,K53,CSTM,KYN
95718,K36,KYN,CSTM
95719,K73,CSTM,KYN
95720,K42,KYN,CSTM
95721,KW1,CSTM,KYN
95722,DK10,KYN,DR
95723,DK15,DR,KYN
95724,K56,KYN,CSTM
95725,DK17,DR,KYN
95726,K76,KYN,CSTM
95727,K89,CSTM,KYN
95728,K94,KYN,CSTM
95729,DK21,DR,KYN
95730,DK20,KYN,DR
95731,K95,CSTM,KYN
95732,K98,KYN,CSTM
