cityid,cityname,state
564,Nuzvid,Andhra Pradesh
565,O' Valley,Tamil Nadu
566,Obra,Uttar Pradesh
567,Oddanchatram,Tamil Nadu
568,Ongole,Andhra Pradesh
569,Orai,Uttar Pradesh
570,Osmanabad,Maharashtra
571,Ottappalam,Kerala
572,Ozar,Maharashtra
573,P.N.Patti,Tamil Nadu
574,Pachora,Maharashtra
575,Pachore,Madhya Pradesh
576,Pacode,Tamil Nadu
577,Padmanabhapuram,Tamil Nadu
578,Padra,Gujarat
579,Padrauna,Uttar Pradesh
580,Paithan,Maharashtra
581,Pakaur,Jharkhand
582,Palacole,Andhra Pradesh
583,Palai,Kerala
584,Palakkad,Kerala
585,Palampur,Himachal Pradesh
586,Palani,Tamil Nadu
587,Palanpur,Gujarat
588,Palasa Kasibugga,Andhra Pradesh
589,Palghar,Maharashtra
590,Pali,Rajasthan
591,Pali,Madhya Pradesh
592,Palia Kalan,Uttar Pradesh
593,Palitana,Gujarat
594,Palladam,Tamil Nadu
595,Pallapatti,Tamil Nadu
596,Pallikonda,Tamil Nadu
597,Palwal,Haryana
598,Palwancha,Telangana
599,Panagar,Madhya Pradesh
600,Panagudi,Tamil Nadu
601,Panaji,Goa
602,Panamattom,Kerala
603,Panchkula,Haryana
604,Panchla,West Bengal
605,PandUrban Agglomeration,West Bengal
606,Pandharkaoda,Maharashtra
607,Pandharpur,Maharashtra
608,Pandhurna,Madhya Pradesh
609,Panipat,Haryana
610,Panna,Madhya Pradesh
611,Panniyannur,Kerala
612,Panruti,Tamil Nadu
613,Panvel,Maharashtra
614,Pappinisseri,Kerala
615,Paradip,Odisha
616,Paramakudi,Tamil Nadu
617,Parangipettai,Tamil Nadu
618,Parasi,Uttar Pradesh
619,Paravoor,Kerala
620,Parbhani,Maharashtra
621,Pardi,Gujarat
622,Parlakhemundi,Odisha
623,Parli,Maharashtra
624,Partur,Maharashtra
625,Parvathipuram,Andhra Pradesh
626,Pasan,Madhya Pradesh
627,Paschim Punropara,West Bengal
628,Pasighat,Arunachal Pradesh
629,Patan,Gujarat
630,Pathanamthitta,Kerala
631,Pathankot,Punjab
632,Pathardi,Maharashtra
633,Pathri,Maharashtra
634,Patiala,Punjab
635,Patna,Bihar
636,Patratu,Jharkhand
637,Pattamundai,Odisha
638,Patti,Punjab
639,Pattran,Punjab
640,Pattukkottai,Tamil Nadu
641,Patur,Maharashtra
642,Pauni,Maharashtra
643,Pauri,Uttarakhand
644,Pavagada,Karnataka
645,Pedana,Andhra Pradesh
646,Peddapuram,Andhra Pradesh
647,Pehowa,Haryana
648,Pen,Maharashtra
649,Perambalur,Tamil Nadu
